"germancode","checked","Berufsübersetzung","jobs","code","count","mean","std","min","25%","50%","75%","max","rel_std","Berufsübersetzung","number_zusammen","Resultatsberuf_zusammen","three_letter_scraper","matched"
292,"y","Metzger und Fleischschnei","['Butchers and Meat Cutters', 'Slaughterers and Meat Packers', 'Meat, Poultry, and Fish Cutters and Trimmers']","51-302","3.0","78.33333333","6.110100927","73.0","75.0","77.0","81.0","85.0","0.078001288","Metzger und Fleischschnei",,,,"False"
293,633,"Food Service Mana","['Food Service Managers']","11-905","1.0","78.0","0.0","78.0","78.0","78.0","78.0","78.0","0.0","Food Service Mana","71104-10","Manager/in (Geschäftsführung)",711,"False"
,"?","Genetische Bera","['Genetic Counselors', 'Midwives', 'Athletic Trainers']","29-909","3.0","78.0","26.85144316","47.0","70.0","93.0","93.5","94.0","0.344249271","Genetische Bera","71524-14","Berater/in - Bildung, Beruf und Beschäftigung",715,"False"
633,"y","Kellner und Kellnerinn","['Waiters and Waitresses']","35-303","1.0","78.0","0.0","78.0","78.0","78.0","78.0","78.0","0.0","Kellner und Kellnerinn",,,,"False"
845,"y","Fitnesstrainer und Aero","['Fitness Trainers and Aerobics Instructors', 'Recreation Workers']","39-903","2.0","77.5","7.778174592999999","72.0","74.75","77.5","80.25","83.0","0.10036354300000001","Fitnesstrainer und Aero",,,,"False"
532,"y","Tran","['Transit and Railroad Police', 'Sheriffs and Deputy Sheriffs', 'Police Patrol Officers']","33-305","3.0","77.0","3.464101615","73.0","76.0","79.0","79.0","79.0","0.044988333","Tran",,,,"False"
,921,"Telemarket","['Telemarketers']","41-904","1.0","77.0","0.0","77.0","77.0","77.0","77.0","77.0","0.0","Telemarket","92122-10","Callcenteragent/in",921,"False"
342,322,"Sickergr","['Septic Tank Servicers and Sewer Pipe Cleaners']","47-407","1.0","77.0","0.0","77.0","77.0","77.0","77.0","77.0","0.0","Sickergr",,,,"False"
321,211,"Dachkämp","['Roof Bolters, Mining']","47-506","1.0","77.0","0.0","77.0","77.0","77.0","77.0","77.0","0.0","Dachkämp",,,,"False"
,117,"Fi","['Fish and Game Wardens']","33-303","1.0","76.0","0.0","76.0","76.0","76.0","76.0","76.0","0.0","Fi","11732-10","Revierjäger/in",117,"False"
621,"?","Tell","['Tellers']","43-307","1.0","76.0","0.0","76.0","76.0","76.0","76.0","76.0","0.0","Tell","63301-10","Helfer/in - Gastgewerbe",633,"False"
841,"y","Lehrer der Mittelst","['Middle School Teachers, Except Special and Career/Technical Education', 'Career/Technical Education Teachers, Middle School', 'Elementary School Teachers, Except Special Education']","25-202","3.0","75.66666667","4.932882862","70.0","74.0","78.0","78.5","79.0","0.065192285","Lehrer der Mittelst",,,,"False"
212,251,"Reparaturbetriebe für feuerfeste Material","['Refractory Materials Repairers, Except Brickmasons', 'Maintenance Workers, Machinery', 'Industrial Machinery Mechanics', 'Millwrights']","49-904","4.0","75.5","3.696845502","72.0","72.75","75.0","77.75","80.0","0.048964840999999995","Reparaturbetriebe für feuerfeste Material",,,,"False"
823,946,"Vergnügu","['Amusement and Recreation Attendants', 'Costume Attendants', 'Locker Room, Coatroom, and Dressing Room Attendants']","39-309","3.0","74.66666667","10.06644591","64.0","70.0","76.0","80.0","84.0","0.134818472","Vergnügu","83112-10","Erzieher/in - Jugend- und Heimerziehung",831,"False"
531,"y","Beauftragte für die Bekämpfung und Verhütung von Waldbrän","['Forest Fire Fighting and Prevention Supervisors', 'Municipal Fire Fighting and Prevention Supervisors']","33-102","2.0","74.5","2.121320344","73.0","73.75","74.5","75.25","76.0","0.028474099","Beauftragte für die Bekämpfung und Verhütung von Waldbrän",,,,"False"
311,"y","Erstrangige Bauaufsicht für Bauhandwerk und Förderarbei","['First-Line Supervisors of Construction Trades and Extraction Workers', 'Solar Energy Installation Managers']","47-101","2.0","74.5","4.949747468","71.0","72.75","74.5","76.25","78.0","0.066439563","Erstrangige Bauaufsicht für Bauhandwerk und Förderarbei","21112-11","Tiefbohrfacharbeiter/in (Erdöl-, Erdgasgewinnung)",211,"False"
532,"y","Erstrangige Aufsichtsbeamte der Strafvollzugsbeamt","['First-Line Supervisors of Correctional Officers', 'First-Line Supervisors of Police and Detectives']","33-101","2.0","74.0","4.242640687","71.0","72.5","74.0","75.5","77.0","0.057332982000000005","Erstrangige Aufsichtsbeamte der Strafvollzugsbeamt",,,,"False"
633,"y","Schalterbedienst","['Counter Attendants, Cafeteria, Food Concession, and Coffee Shop', 'Combined Food Preparation and Serving Workers, Including Fast Food', 'Baristas']","35-302","3.0","74.0","1.0","73.0","73.5","74.0","74.5","75.0","0.013513513999999999","Schalterbedienst",,,,"False"
512,515,"Flugplatzeins","['Airfield Operations Specialists', 'Air Traffic Controllers']","53-202","2.0","74.0","11.3137085","66.0","70.0","74.0","78.0","82.0","0.15288795300000002","Flugplatzeins",,,,"False"
831,842,"Ber","['Career/Technical Education Teachers, Secondary School', 'Secondary School Teachers, Except Special and Career/Technical Education']","25-203","2.0","73.5","4.949747468","70.0","71.75","73.5","75.25","77.0","0.067343503","Ber","71524-14","Berater/in - Bildung, Beruf und Beschäftigung",715,"False"
343,342,"Rohrschlosser und Dampfinstallate","['Pipe Fitters and Steamfitters', 'Pipelayers', 'Plumbers']","47-215","3.0","73.33333333","13.50308607","60.0","66.5","73.0","80.0","87.0","0.184132992","Rohrschlosser und Dampfinstallate",,,,"False"
532,531,"Schülerlots","['Crossing Guards', 'Retail Loss Prevention Specialists', 'Transportation Security Screeners', 'Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers']","33-909","4.0","73.25","12.68529332","56.0","68.75","75.5","80.0","86.0","0.17317806600000002","Schülerlots",,,,"False"
943,531,"Spielüberwachungsbeamte und Spielermitt","['Gaming Surveillance Officers and Gaming Investigators', 'Security Guards']","33-903","2.0","73.0","7.071067812000001","68.0","70.5","73.0","75.5","78.0","0.09686394300000001","Spielüberwachungsbeamte und Spielermitt",,,,"False"
715,733,"Intervie","['Interviewers, Except Eligibility and Loan']","43-411","1.0","73.0","0.0","73.0","73.0","73.0","73.0","73.0","0.0","Intervie","91341-10","Interviewer/in",913,"False"
513,"y","Postbeauftragte und Postautomatenbedie","['Mail Clerks and Mail Machine Operators, Except Postal Service']","43-905","1.0","73.0","0.0","73.0","73.0","73.0","73.0","73.0","0.0","Postbeauftragte und Postautomatenbedie",,,,"False"
333,321,"Bauarbei","['Construction Laborers']","47-206","1.0","73.0","0.0","73.0","73.0","73.0","73.0","73.0","0.0","Bauarbei",,,,"False"
341,531,"Parkplatzwäch","['Parking Lot Attendants']","53-602","1.0","73.0","0.0","73.0","73.0","73.0","73.0","73.0","0.0","Parkplatzwäch","53111-10","Helfer/in - Objekt-, Werte- und Personenschutz",531,"False"
621,"y","Spielgeldwechsler und Standkassie","['Gaming Change Persons and Booth Cashiers', 'Cashiers']","41-201","2.0","72.5","3.5355339060000004","70.0","71.25","72.5","73.75","75.0","0.048765985","Spielgeldwechsler und Standkassie",,,,"False"
633,"y","Speisenausg","['Food Servers, Nonrestaurant']","35-304","1.0","72.0","0.0","72.0","72.0","72.0","72.0","72.0","0.0","Speisenausg",,,,"False"
252,511,"Schiffsingenie","['Ship Engineers']","53-503","1.0","72.0","0.0","72.0","72.0","72.0","72.0","72.0","0.0","Schiffsingenie","51134-10","Schiffsingenieur/in - Gastanker",511,"False"
262,"y","Techniker für den Betrieb kerntechnischer Anla","['Nuclear Equipment Operation Technicians', 'Nuclear Monitoring Technicians']","19-405","2.0","71.0","1.4142135619999998","70.0","70.5","71.0","71.5","72.0","0.019918501","Techniker für den Betrieb kerntechnischer Anla","34342-10","Anlagenmechaniker/in",343,"False"
114,"y","Fischer und verwandte Fischerber","['Fishers and Related Fishing Workers']","45-301","1.0","70.0","0.0","70.0","70.0","70.0","70.0","70.0","0.0","Fischer und verwandte Fischerber",,,,"False"
822,"y","Soz","['Social and Human Service Assistants', 'Community Health Workers', 'Health Educators', 'Probation Officers and Correctional Treatment Specialists']","21-109","4.0","69.0","10.29563014","57.0","62.25","70.0","76.75","79.0","0.149212031","Soz","91264-10","Sozial- und Kulturanthropologe/-anthropologin",912,"False"
922,817,"Diätassistenten und Ernährungswissenschaft","['Dietitians and Nutritionists']","29-103","1.0","69.0","0.0","69.0","69.0","69.0","69.0","69.0","0.0","Diätassistenten und Ernährungswissenschaft",,,,"False"
621,621,"Einzelhandelskaufle","['Retail Salespersons']","41-203","1.0","69.0","0.0","69.0","69.0","69.0","69.0","69.0","0.0","Einzelhandelskaufle",,,,"False"
513,"y","Kennzeichnungsverwal","['Marking Clerks', 'Order Fillers, Wholesale and Retail Sales', 'Stock Clerks- Stockroom, Warehouse, or Storage Yard', 'Stock Clerks, Sales Floor']","43-508","4.0","69.0","11.34313302","58.0","61.75","67.0","74.25","84.0","0.164393232","Kennzeichnungsverwal",,,,"False"
244,241,"Boilermake","['Boilermakers']","47-201","1.0","69.0","0.0","69.0","69.0","69.0","69.0","69.0","0.0","Boilermake",,,,"False"
213,"y","Gla","['Glaziers']","47-212","1.0","69.0","0.0","69.0","69.0","69.0","69.0","69.0","0.0","Gla","33342-10","Glaser/in - Fenster- und Glasfassadenbau",333,"False"
262,251,"Erstrangige Aufsichtspersonen von Mechanik","['First-Line Supervisors of Mechanics, Installers, and Repairers']","49-101","1.0","69.0","0.0","69.0","69.0","69.0","69.0","69.0","0.0","Erstrangige Aufsichtspersonen von Mechanik","24512-11","Feinwerkmechaniker/in",245,"False"
262,343,"Ste","['Control and Valve Installers and Repairers, Except Mechanical Door', 'Mechanical Door Repairers']","49-901","2.0","69.0","5.656854248999999","65.0","67.0","69.0","71.0","73.0","0.081983395","Ste","21293-10","Steinmetz- und Steinbildhauermeister/in",212,"False"
262,251,"Wartu","['Maintenance and Repair Workers, General']","49-907","1.0","69.0","0.0","69.0","69.0","69.0","69.0","69.0","0.0","Wartu","25132-10","Wartungs- und Servicetechniker/in - Maschinenbau",251,"False"
251,"y","Moto","['Engine and Other Machine Assemblers']","51-203","1.0","69.0","0.0","69.0","69.0","69.0","69.0","69.0","0.0","Moto","24412-22","Fachkraft für Metalltechnik - Konstruktionstechnik",244,"False"
524,511,"Matrosen und Schiffsö","['Sailors and Marine Oilers']","53-501","1.0","69.0","0.0","69.0","69.0","69.0","69.0","69.0","0.0","Matrosen und Schiffsö",,,,"False"
263,"y","Installateure und Reparaturbetriebe für Telekommunikationsleitun","['Telecommunications Line Installers and Repairers', 'Electrical Power-Line Installers and Repairers']","49-905","2.0","68.5","6.3639610310000005","64.0","66.25","68.5","70.75","73.0","0.092904541","Installateure und Reparaturbetriebe für Telekommunikationsleitun",,,,"False"
845,"y","Schiedsrich","['Umpires, Referees, and Other Sports Officials', 'Coaches and Scouts', 'Athletes and Sports Competitors']","27-202","3.0","68.0","7.937253932999999","59.0","65.0","71.0","72.5","74.0","0.116724323","Schiedsrich",,,,"False"
732,921,"Telefongesellschaf","['Telephone Operators']","43-202","1.0","68.0","0.0","68.0","68.0","68.0","68.0","68.0","0.0","Telefongesellschaf",,,,"False"
611,721,"Brokerage Cler","['Brokerage Clerks']","43-401","1.0","68.0","0.0","68.0","68.0","68.0","68.0","68.0","0.0","Brokerage Cler",,,,"False"
262,"y","So","['Solar Photovoltaic Installers']","47-223","1.0","68.0","0.0","68.0","68.0","68.0","68.0","68.0","0.0","So",,,,"False"
513,516,"Kontrolleure der Flugz","['Aircraft Cargo Handling Supervisors']","53-101","1.0","68.0","0.0","68.0","68.0","68.0","68.0","68.0","0.0","Kontrolleure der Flugz",,,,"False"
621,721,"Schal","['Counter and Rental Clerks', 'Parts Salespersons']","41-202","2.0","67.5","0.7071067809999999","67.0","67.25","67.5","67.75","68.0","0.010475656","Schal","32112-10","Einschaler/in",321,"False"
825,"y","Audiolo","['Audiologists']","29-118","1.0","67.0","0.0","67.0","67.0","67.0","67.0","67.0","0.0","Audiolo","81222-10","HNO-Audiologieassistent/in",812,"False"
621,625,,"['Door-To-Door Sales Workers, News and Street Vendors, and Related Workers']","41-909","1.0","67.0","0.0","67.0","67.0","67.0","67.0","67.0","0.0",,,,,"False"
822,"y","Patientenvertre","['Patient Representatives', 'Customer Service Representatives']","43-405","2.0","67.0","12.72792206","58.0","62.5","67.0","71.5","76.0","0.189968986","Patientenvertre",,,,"False"
117,117,"Fo","['Forest and Conservation Workers']","45-401","1.0","67.0","0.0","67.0","67.0","67.0","67.0","67.0","0.0","Fo",,,,"False"
242,244,"Blechschlos","['Sheet Metal Workers']","47-221","1.0","67.0","0.0","67.0","67.0","67.0","67.0","67.0","0.0","Blechschlos","34342-10","Anlagenmechaniker/in",343,"False"
263,263,"Installateure und Reparaturbetriebe für Telekommunikationsger","['Telecommunications Equipment Installers and Repairers, Except Line Installers', 'Radio, Cellular, and Tower Equipment Installers and Repairers', 'Radio Mechanics']","49-202","3.0","67.0","7.810249676000001","62.0","62.5","63.0","69.5","76.0","0.116570891","Installateure und Reparaturbetriebe für Telekommunikationsger",,,,"False"
251,263,"Haushaltsgerätereparaturunterneh","['Home Appliance Repairers']","49-903","1.0","67.0","0.0","67.0","67.0","67.0","67.0","67.0","0.0","Haushaltsgerätereparaturunterneh",,,,"False"
522,521,,"['Subway and Streetcar Operators']","53-404","1.0","67.0","0.0","67.0","67.0","67.0","67.0","67.0","0.0",,,,,"False"
342,263,"Helf","['Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters', 'Helpers--Electricians', 'Helpers--Carpenters', 'Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons', 'Helpers--Roofers', 'Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters']","47-301","6.0","66.66666667","5.680375574","61.0","63.0","66.5","67.0","77.0","0.085205634","Helf","82101-10","Helfer/in - Altenpflege/Persönliche Assistenz",821,"False"
211,"y","Sprengstoffarbei","['Explosives Workers, Ordnance Handling Experts, and Blasters']","47-503","1.0","66.0","0.0","66.0","66.0","66.0","66.0","66.0","0.0","Sprengstoffarbei",,,,"False"
262,"y","Helf","['Helpers--Installation, Maintenance, and Repair Workers', 'Geothermal Technicians', 'Fabric Menders, Except Garment', 'Commercial Divers', 'Riggers', 'Coin, Vending, and Amusement Machine Servicers and Repairers', 'Manufactured Building and Mobile Home Installers', 'Locksmiths and Safe Repairers', 'Signal and Track Switch Repairers']","49-909","9.0","66.0","9.38083152","50.0","58.0","68.0","73.0","77.0","0.142133811","Helf","34212-11","Anlagenmechaniker/in - Sanitär-, Heizungs- und Klimatechnik",342,"False"
241,242,"Strangpres","['Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders']","51-904","1.0","66.0","0.0","66.0","66.0","66.0","66.0","66.0","0.0","Strangpres",,,,"False"
251,"y","Fi","['First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators']","53-103","1.0","66.0","0.0","66.0","66.0","66.0","66.0","66.0","0.0","Fi","52122-10","Kraftfahrzeugführer/in - Ver- und Entsorgung",521,"False"
273,,"Erstrangige Aufsichtspersonen für Produkti","['First-Line Supervisors of Production and Operating Workers']","51-101","1.0","65.0","0.0","65.0","65.0","65.0","65.0","65.0","0.0","Erstrangige Aufsichtspersonen für Produkti",,,,"False"
,913,"Inspekto","['Inspectors, Testers, Sorters, Samplers, and Weighers']","51-906","1.0","65.0","0.0","65.0","65.0","65.0","65.0","65.0","0.0","Inspekto","73113-10","Inspektor/in - Notardienst",731,"False"
,"?","Timing Device Assembler und Justie","['Timing Device Assemblers and Adjusters', 'Team Assemblers', 'Fiberglass Laminators and Fabricators']","51-209","3.0","64.66666667","19.03505538","45.0","55.5","66.0","74.5","83.0","0.294356527","Timing Device Assembler und Justie","24512-11","Feinwerkmechaniker/in",245,"False"
824,"y","Einbalsamie","['Embalmers']","39-401","1.0","64.0","0.0","64.0","64.0","64.0","64.0","64.0","0.0","Einbalsamie",,,,"False"
341,714,"Büroangestel","['Office Clerks, General']","43-906","1.0","64.0","0.0","64.0","64.0","64.0","64.0","64.0","0.0","Büroangestel",,,,"False"
311,"y",,"['Construction and Building Inspectors']","47-401","1.0","64.0","0.0","64.0","64.0","64.0","64.0","64.0","0.0",,,,,"False"
251,"y","Aufzugsinstallateure u","['Elevator Installers and Repairers']","47-402","1.0","64.0","0.0","64.0","64.0","64.0","64.0","64.0","0.0","Aufzugsinstallateure u",,,,"False"
262,"y","Bewitterungsinstallateure u","['Weatherization Installers and Technicians', 'Segmental Pavers', 'Solar Thermal Installers and Technicians']","47-409","3.0","63.66666667","4.041451884","60.0","61.5","63.0","65.5","68.0","0.063478302","Bewitterungsinstallateure u",,,,"False"
262,343,"Stromverteiler und Dispatc","['Power Distributors and Dispatchers', 'Nuclear Power Reactor Operators', 'Power Plant Operators']","51-801","3.0","63.33333333","11.239810199999999","51.0","58.5","66.0","69.5","73.0","0.177470687","Stromverteiler und Dispatc",,,,"False"
944,942,"Talentierte Regisse","['Talent Directors', 'Directors- Stage, Motion Pictures, Television, and Radio', 'Technical Directors/Managers', 'Actors', 'Producers', 'Program Directors']","27-201","6.0","63.0","20.29778313","40.0","47.5","65.5","69.25","95.0","0.322187034","Talentierte Regisse",,,,"False"
621,263,"Compu","['Computer, Automated Teller, and Office Machine Repairers']","49-201","1.0","63.0","0.0","63.0","63.0","63.0","63.0","63.0","0.0","Compu","23224-10","Computer-Animator/in",232,"False"
923,943,"Beschallungsanlage und andere Ansa","['Public Address System and Other Announcers', 'Radio and Television Announcers']","27-301","2.0","62.5","12.02081528","54.0","58.25","62.5","66.75","71.0","0.19233304399999998","Beschallungsanlage und andere Ansa",,,,"False"
631,"y","Reiseleiter und Beglei","['Tour Guides and Escorts', 'Travel Guides']","39-701","2.0","62.5","13.43502884","53.0","57.75","62.5","67.25","72.0","0.21496046100000002","Reiseleiter und Beglei",,,,"False"
513,521,"Fracht und Spedite","['Cargo and Freight Agents', 'Freight Forwarders']","43-501","2.0","62.5","3.5355339060000004","60.0","61.25","62.5","63.75","65.0","0.056568542","Fracht und Spedite",,,,"False"
812,"y","Medizinische und klinische Labortechni","['Medical and Clinical Laboratory Technologists', 'Cytotechnologists', 'Medical and Clinical Laboratory Technicians', 'Histotechnologists and Histologic Technicians', 'Cytogenetic Technologists']","29-201","5.0","62.4","8.35463943","49.0","63.0","63.0","65.0","72.0","0.133888452","Medizinische und klinische Labortechni","41322-11","Chemielaborant/in",413,"False"
